id,beauty
1610,64.47
1344,70.89500000000001
1812,73.56
1842,41.575
1368,51.33
1618,63.05
1652,41.965
1702,64.89
1862,58.105000000000004
1722,83.205
1897,52.41
1726,61.405
1902,60.224999999999994
1738,67.84
2170,65.58
1754,49.91
2217,77.53
1760,58.7
1798,75.19999999999999
1412,59.37
1446,59.245000000000005
1458,63.435
1470,60.82
1520,50.614999999999995
1521,47.455
1555,70.455
1558,63.45
2244,70.47
4088,57.485
4388,55.81
5972,63.120000000000005
6086,62.665
1610,64.47
1344,70.89500000000001
1812,73.56
1842,41.575
1368,51.33
1618,63.05
1652,41.965
1702,64.89
1862,58.105000000000004
1722,83.205
1897,52.41
1726,61.405
1902,60.224999999999994
1738,67.84
2170,65.58
1754,49.91
2217,77.53
1760,58.7
1798,75.19999999999999
1412,59.37
1446,59.245000000000005
1458,63.435
1470,60.82
1520,50.614999999999995
1521,47.455
1555,70.455
1558,63.45
2244,70.47
4088,57.485
4388,55.81
5972,63.120000000000005
6086,62.665
